id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML:fragment_scans
1,0.712,0.6992,1.0217,164.92057,164.9205,164.92067,5.19E6,2.575E5,1.014E5,5.19E6,1,DETECTED,164.92057,164.9205,164.92067,0.712,0.6992,1.0217,5.19E6,2.575E5,1.014E5,5.19E6,0.1544,4.7068,15.0791,1
2,0.712,0.6992,15.9877,430.91401,430.9137,430.91684,4.023E6,2.962E5,1.048E5,4.023E6,1,DETECTED,430.91401,430.9137,430.91684,0.712,0.6992,15.9877,4.023E6,2.962E5,1.048E5,4.023E6,15.156,597.1583,1191.8721,1
3,0.712,0.6842,15.9654,498.90117,498.90097,498.90598,2.825E6,2.021E5,1.074E5,2.825E6,0,DETECTED,498.90117,498.90097,498.90598,0.712,0.6842,15.9654,2.825E6,2.021E5,1.074E5,2.825E6,15.1493,604.2546,1274.011,
4,0.712,0.6992,15.9654,566.88857,566.88843,566.88879,2.71E6,1.956E5,1.912E5,2.71E6,0,DETECTED,566.88857,566.88843,566.88879,0.712,0.6992,15.9654,2.71E6,1.956E5,1.912E5,2.71E6,15.1552,1.3445,1191.801,
5,0.712,0.6992,15.9654,634.87568,634.87549,634.87695,3.231E6,2.254E5,1.237E5,3.231E6,0,DETECTED,634.87568,634.87549,634.87695,0.712,0.6992,15.9654,3.231E6,2.254E5,1.237E5,3.231E6,15.1554,1.3162,1191.6876,
6,0.7331,0.712,11.6861,200.17579,200.17551,200.17741,1.466E6,7.148E4,1.115E5,1.466E6,0,DETECTED,200.17579,200.17551,200.17741,0.7331,0.712,11.6861,1.466E6,7.148E4,1.115E5,1.466E6,6.205,259.4015,290.5239,
7,0.7331,0.6992,1.0217,363.03346,363.03314,363.0336,1.064E7,5.956E5,1.781E5,1.064E7,1,DETECTED,363.03346,363.03314,363.0336,0.7331,0.6992,1.0217,1.064E7,5.956E5,1.781E5,1.064E7,0.0409,5.622,2.9703,1
8,0.7522,0.712,1.0749,341.05159,341.0513,341.05237,2.883E6,2.424E5,1.108E5,2.883E6,3,DETECTED,341.05159,341.0513,341.05237,0.7522,0.712,1.0749,2.883E6,2.424E5,1.108E5,2.883E6,0.0446,8.5759,12.361,3
9,0.7522,0.712,10.2014,439.14095,439.13846,439.1431,4.281E6,7.702E5,1.001E5,4.281E6,3,DETECTED,439.14095,439.13846,439.1431,0.7522,0.712,10.2014,4.281E6,7.702E5,1.001E5,4.281E6,0.1595,55.1814,1.381,3
10,0.7722,0.712,6.7144,236.14936,236.14738,236.1498,8.925E6,3.715E5,1.007E5,8.925E6,2,DETECTED,236.14936,236.14738,236.1498,0.7722,0.712,6.7144,8.925E6,3.715E5,1.007E5,8.925E6,0.2703,1.6682,2.4504,2
11,0.7722,0.7522,0.9532,244.07945,244.0793,244.07957,4.083E6,1.527E5,1.386E5,4.083E6,0,DETECTED,244.07945,244.0793,244.07957,0.7722,0.7522,0.9532,4.083E6,1.527E5,1.386E5,4.083E6,0.0343,3.9365,1.7754,
12,0.7722,0.7522,12.1139,245.11349,245.11275,245.11476,1.454E7,9.99E5,1.057E5,1.454E7,3,DETECTED,245.11349,245.11275,245.11476,0.7722,0.7522,12.1139,1.454E7,9.99E5,1.057E5,1.454E7,0.3622,4.1263,2.6884,3
13,0.7722,0.7331,1.0217,277.08967,277.08936,277.08984,1.519E7,6.193E5,3.702E5,1.519E7,0,DETECTED,277.08967,277.08936,277.08984,0.7722,0.7331,1.0217,1.519E7,6.193E5,3.702E5,1.519E7,0.0257,0.9607,4.2253,
14,0.7722,0.7522,10.066,303.08655,303.08588,303.08728,5.03E5,1.099E6,1.002E5,5.03E5,0,DETECTED,303.08655,303.08588,303.08728,0.7722,0.7522,10.066,5.03E5,1.099E6,1.002E5,5.03E5,6.2347,233.2208,487.0034,
15,0.7722,0.7522,11.4889,333.13009,333.1283,333.13284,4.897E6,3.123E5,1.068E5,4.897E6,5,DETECTED,333.13009,333.1283,333.13284,0.7722,0.7522,11.4889,4.897E6,3.123E5,1.068E5,4.897E6,0.0446,4.3505,10.3019,5
16,0.7722,0.7331,1.0217,335.09504,335.09439,335.09543,2.076E6,1.307E5,1.044E5,2.076E6,0,DETECTED,335.09504,335.09439,335.09543,0.7722,0.7331,1.0217,2.076E6,1.307E5,1.044E5,2.076E6,0.0519,2.8227,3.367,
17,0.7722,0.712,8.9401,365.10559,365.10226,365.10712,9.798E6,6.302E5,1.009E5,9.798E6,2,DETECTED,365.10559,365.10226,365.10712,0.7722,0.712,8.9401,9.798E6,6.302E5,1.009E5,9.798E6,0.0359,1.888,0.592,2
18,0.7722,0.7331,7.3651,406.13322,406.13205,406.13559,1.07E6,7.927E4,1.008E5,1.07E6,0,DETECTED,406.13322,406.13205,406.13559,0.7722,0.7331,7.3651,1.07E6,7.927E4,1.008E5,1.07E6,0.0303,60.0487,118.6829,
19,0.7927,0.7522,1.0749,217.06845,217.06827,217.06868,1.728E7,5.857E5,1.3E5,1.728E7,3,DETECTED,217.06845,217.06827,217.06868,0.7927,0.7522,1.0749,1.728E7,5.857E5,1.3E5,1.728E7,0.3221,3.4678,1.3348,3
20,0.7927,0.7522,1.0409,247.07896,247.07855,247.07921,2.239E6,1.094E5,1.565E5,2.239E6,0,DETECTED,247.07896,247.07855,247.07921,0.7927,0.7522,1.0409,2.239E6,1.094E5,1.565E5,2.239E6,0.0237,2.9844,5.6932,
21,0.7927,0.7522,4.5662,250.12815,250.12683,250.12897,7.443E5,1.471E5,1.006E5,7.443E5,0,DETECTED,250.12815,250.12683,250.12897,0.7927,0.7522,4.5662,7.443E5,1.471E5,1.006E5,7.443E5,3.7434,47.082,3.8855,
22,0.7927,0.7522,9.6933,307.1508,307.14871,307.15292,2.085E6,2.653E5,1.032E5,2.085E6,4,DETECTED,307.1508,307.14871,307.15292,0.7927,0.7522,9.6933,2.085E6,2.653E5,1.032E5,2.085E6,8.8641,5.6805,5.4031,4
23,0.7927,0.7331,11.1519,310.1499,310.14694,310.15271,7.107E6,1.464E6,1.002E5,7.107E6,5,DETECTED,310.1499,310.14694,310.15271,0.7927,0.7331,11.1519,7.107E6,1.464E6,1.002E5,7.107E6,0.0309,27.355,276.3963,5
24,0.7927,0.7722,4.7915,319.14993,319.14865,319.15076,1.868E6,2.035E5,1.017E5,1.868E6,0,DETECTED,319.14993,319.14865,319.15076,0.7927,0.7722,4.7915,1.868E6,2.035E5,1.017E5,1.868E6,0.041,74.5124,3.8044,
25,0.7927,0.7522,11.1775,326.14465,326.14166,326.14795,1.49E6,3.476E5,1.002E5,1.49E6,0,DETECTED,326.14465,326.14166,326.14795,0.7927,0.7522,11.1775,1.49E6,3.476E5,1.002E5,1.49E6,0.2404,103.8287,188.7056,
26,0.7927,0.7522,6.4846,347.09585,347.09262,347.09735,1.255E6,2.142E5,1.039E5,1.255E6,0,DETECTED,347.09585,347.09262,347.09735,0.7927,0.7522,6.4846,1.255E6,2.142E5,1.039E5,1.255E6,1.4932,70.6565,17.3396,
27,0.7927,0.7522,8.2272,363.0903,363.08661,363.09116,1.1E6,6.78E4,1.234E5,1.1E6,0,DETECTED,363.0903,363.08661,363.09116,0.7927,0.7522,8.2272,1.1E6,6.78E4,1.234E5,1.1E6,0.2545,92.2756,183.1333,
28,0.7927,0.7331,9.6169,379.12126,379.11758,379.1235,1.109E7,8.228E5,1.01E5,1.109E7,2,DETECTED,379.12126,379.11758,379.1235,0.7927,0.7331,9.6169,1.109E7,8.228E5,1.01E5,1.109E7,0.0476,3.6113,3.018,2
29,0.7927,0.7522,1.0409,380.12489,380.12442,380.12546,1.51E6,9.484E4,1.123E5,1.51E6,0,DETECTED,380.12489,380.12442,380.12546,0.7927,0.7522,1.0409,1.51E6,9.484E4,1.123E5,1.51E6,0.0449,2.6368,2.9198,
30,0.7927,0.7522,6.1081,393.10072,393.10007,393.10245,1.62E6,7.034E4,1.122E5,1.62E6,0,DETECTED,393.10072,393.10007,393.10245,0.7927,0.7522,6.1081,1.62E6,7.034E4,1.122E5,1.62E6,0.0268,65.8557,4.9918,
31,0.7927,0.7722,10.0039,418.18538,418.18185,418.18616,1.219E6,6.242E5,1.001E5,1.219E6,0,DETECTED,418.18538,418.18185,418.18616,0.7927,0.7722,10.0039,1.219E6,6.242E5,1.001E5,1.219E6,6.7089,105.4228,334.5925,
32,0.7927,0.712,9.0634,527.15776,527.1535,527.15955,2.965E6,1.853E5,1.022E5,2.965E6,0,DETECTED,527.15776,527.1535,527.15955,0.7927,0.712,9.0634,2.965E6,1.853E5,1.022E5,2.965E6,0.1709,47.5812,0.6526,
33,0.7927,0.712,9.3211,689.21017,689.20605,689.21643,1.057E6,9.073E4,1.005E5,1.057E6,0,DETECTED,689.21017,689.20605,689.21643,0.7927,0.712,9.3211,1.057E6,9.073E4,1.005E5,1.057E6,0.0351,53.2033,0.9929,
34,0.8078,0.7722,8.9401,166.08632,166.08585,166.0867,6.658E5,4.555E5,1E5,6.658E5,2,DETECTED,166.08632,166.08585,166.0867,0.8078,0.7722,8.9401,6.658E5,4.555E5,1E5,6.658E5,1.4246,114.7153,144.8087,2
35,0.8078,0.7522,15.8341,176.12783,176.12624,176.12834,1.647E6,1.128E5,1.032E5,1.647E6,0,DETECTED,176.12783,176.12624,176.12834,0.8078,0.7522,15.8341,1.647E6,1.128E5,1.032E5,1.647E6,0.0217,131.3959,438.3576,
36,0.8078,0.7927,8.4101,180.10197,180.09988,180.10243,2.617E6,1.002E6,1.001E5,2.617E6,5,DETECTED,180.10197,180.09988,180.10243,0.8078,0.7927,8.4101,2.617E6,1.002E6,1.001E5,2.617E6,0.3925,232.3738,257.0537,5
37,0.8078,0.7722,8.8529,184.08423,184.08363,184.08452,1.336E6,9.632E4,1.013E5,1.336E6,0,DETECTED,184.08423,184.08363,184.08452,0.8078,0.7722,8.8529,1.336E6,9.632E4,1.013E5,1.336E6,0.2197,113.1741,224.3161,
38,0.8078,0.7722,15.3349,188.09193,188.09171,188.09296,7.516E5,1.242E5,1E5,7.516E5,0,DETECTED,188.09193,188.09171,188.09296,0.8078,0.7722,15.3349,7.516E5,1.242E5,1E5,7.516E5,0.4806,204.5272,10.0407,
39,0.8078,0.7722,6.4005,202.18028,202.17986,202.18045,6.695E6,3.932E5,1.004E5,6.695E6,2,DETECTED,202.18028,202.17986,202.18045,0.8078,0.7722,6.4005,6.695E6,3.932E5,1.004E5,6.695E6,0.0167,5.2341,7.0893,2
40,0.8078,0.7722,1.2691,205.0898,205.08954,205.09029,5.808E5,6.606E4,1.027E5,5.808E5,0,DETECTED,205.0898,205.08954,205.09029,0.8078,0.7722,1.2691,5.808E5,6.606E4,1.027E5,5.808E5,0.0231,6.9797,2.1227,
41,0.8078,0.7331,1.5116,206.13886,206.13844,206.13905,1.488E6,1.685E5,1.02E5,1.488E6,0,DETECTED,206.13886,206.13844,206.13905,0.8078,0.7331,1.5116,1.488E6,1.685E5,1.02E5,1.488E6,0.4049,6.1887,5.2868,
