id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML:fragment_scans
19,0.7366,0.7163,0.9827,422.9889,422.98856,422.98978,2.314E6,1.284E5,1.69E5,2.314E6,0,DETECTED,422.9889,422.98856,422.98978,0.7366,0.7163,0.9827,2.314E6,1.284E5,1.69E5,2.314E6,0.0409,6.1841,2.842,
20,0.7366,0.7163,10.9366,439.14209,439.13815,439.14383,5.161E7,4.428E6,1.015E5,5.161E7,3,DETECTED,439.14209,439.13815,439.14383,0.7366,0.7163,10.9366,5.161E7,4.428E6,1.015E5,5.161E7,0.0549,7.0604,3.4538,3
21,0.7366,0.7163,1.0369,440.14579,440.14413,440.14633,8.726E6,6.341E5,1.07E5,8.726E6,0,DETECTED,440.14579,440.14413,440.14633,0.7366,0.7163,1.0369,8.726E6,6.341E5,1.07E5,8.726E6,0.0545,7.0232,3.4309,
22,0.7366,0.7163,10.9218,441.14884,441.14688,441.15176,1.838E6,2.094E5,1.085E5,1.838E6,0,DETECTED,441.14884,441.14688,441.15176,0.7366,0.7163,10.9218,1.838E6,2.094E5,1.085E5,1.838E6,0.0564,92.1542,213.7402,
23,0.7366,0.7163,9.4307,455.11753,455.11325,455.11914,2.653E6,6.854E5,1.004E5,2.653E6,0,DETECTED,455.11753,455.11325,455.11914,0.7366,0.7163,9.4307,2.653E6,6.854E5,1.004E5,2.653E6,0.0328,173.3348,313.3993,
24,0.7366,0.7163,0.9827,478.95103,478.95053,478.95212,3.783E6,1.642E5,1.302E5,3.783E6,0,DETECTED,478.95103,478.95053,478.95212,0.7366,0.7163,0.9827,3.783E6,1.642E5,1.302E5,3.783E6,0.0372,2.7383,8.7071,
25,0.7366,0.7163,0.9827,480.94795,480.94705,480.94888,2.621E6,1.117E5,1.065E5,2.621E6,0,DETECTED,480.94795,480.94705,480.94888,0.7366,0.7163,0.9827,2.621E6,1.117E5,1.065E5,2.621E6,0.0365,1.8974,8.4361,
26,0.757,0.7366,1.1299,336.09615,336.09573,336.09671,1.277E6,1.731E5,1.361E5,1.277E6,1,DETECTED,336.09615,336.09573,336.09671,0.757,0.7366,1.1299,1.277E6,1.731E5,1.361E5,1.277E6,0.2008,9.6257,3.015,1
27,0.757,0.702,1.1299,341.05143,341.05075,341.0531,1.468E7,1.445E6,1.061E5,1.468E7,3,DETECTED,341.05143,341.05075,341.0531,0.757,0.702,1.1299,1.468E7,1.445E6,1.061E5,1.468E7,0.0432,5.8094,2.316,3
28,0.757,0.7163,1.0202,342.05479,342.05457,342.05515,1.47E6,1.372E5,1.673E5,1.47E6,0,DETECTED,342.05479,342.05457,342.05515,0.757,0.7163,1.0202,1.47E6,1.372E5,1.673E5,1.47E6,0.0432,3.7341,12.4604,
29,0.757,0.7366,1.0202,482.9832,482.98196,482.98431,1.183E6,1.48E5,1.545E5,1.183E6,2,DETECTED,482.9832,482.98196,482.98431,0.757,0.7366,1.0202,1.183E6,1.48E5,1.545E5,1.183E6,0.1011,6.9397,12.1725,2
30,0.757,0.7163,0.9827,497.10156,497.10095,497.10275,2.587E6,1.451E5,2.399E5,2.587E6,0,DETECTED,497.10156,497.10095,497.10275,0.757,0.7163,0.9827,2.587E6,1.451E5,2.399E5,2.587E6,0.0307,3.1706,1.7023,
31,0.757,0.702,0.9827,504.96525,504.96429,504.96725,8.327E5,8.286E4,1.409E5,8.327E5,1,DETECTED,504.96525,504.96429,504.96725,0.757,0.702,0.9827,8.327E5,8.286E4,1.409E5,8.327E5,0.1945,2.5538,0.7692,1
32,0.7755,0.7163,5.4116,236.14934,236.14729,236.15015,9.521E6,4.513E5,1.088E5,9.521E6,3,DETECTED,236.14934,236.14729,236.15015,0.7755,0.7163,5.4116,9.521E6,4.513E5,1.088E5,9.521E6,0.0238,2.0141,9.8887,3
33,0.7755,0.757,1.0018,244.07936,244.07922,244.07954,1.435E6,7.378E4,1.078E5,1.435E6,0,DETECTED,244.07936,244.07922,244.07954,0.7755,0.757,1.0018,1.435E6,7.378E4,1.078E5,1.435E6,0.04,4.6922,1.6979,
34,0.7755,0.7366,10.7109,252.14429,252.1424,252.14664,3.79E6,2.878E5,1.004E5,3.79E6,2,DETECTED,252.14429,252.1424,252.14664,0.7755,0.7366,10.7109,3.79E6,2.878E5,1.004E5,3.79E6,0.0511,3.6228,5.8143,2
35,0.7755,0.7366,9.4429,277.08961,277.08685,277.09006,1.107E8,6.31E6,1.026E5,1.107E8,3,DETECTED,277.08961,277.08685,277.09006,0.7755,0.7366,9.4429,1.107E8,6.31E6,1.026E5,1.107E8,0.0308,3.4591,4.0953,3
36,0.7755,0.7366,7.295,278.09293,278.09268,278.09512,1.118E7,6.163E5,1.066E5,1.118E7,0,DETECTED,278.09293,278.09268,278.09512,0.7755,0.7366,7.295,1.118E7,6.163E5,1.066E5,1.118E7,0.0305,0.8961,1.0461,
37,0.7755,0.7366,10.3351,279.09373,279.09341,279.09415,1.858E6,1.865E5,1.095E5,1.858E6,0,DETECTED,279.09373,279.09341,279.09415,0.7755,0.7366,10.3351,1.858E6,1.865E5,1.095E5,1.858E6,0.0338,120.2715,3.2758,
38,0.7755,0.757,10.8671,303.08649,303.08533,303.08749,3.65E6,1.51E6,1.013E5,3.65E6,0,DETECTED,303.08649,303.08533,303.08749,0.7755,0.757,10.8671,3.65E6,1.51E6,1.013E5,3.65E6,9.2915,140.4046,349.0754,
39,0.7755,0.757,10.7512,321.09716,321.09622,321.09869,7.959E5,1.902E6,1.012E5,7.959E5,0,DETECTED,321.09716,321.09622,321.09869,0.7755,0.757,10.7512,7.959E5,1.902E6,1.012E5,7.959E5,7.6968,269.9189,515.9337,
40,0.7755,0.757,1.1051,333.12928,333.12766,333.12994,3.052E6,1.876E5,1.007E5,3.052E6,1,DETECTED,333.12928,333.12766,333.12994,0.7755,0.757,1.1051,3.052E6,1.876E5,1.007E5,3.052E6,0.0384,6.2432,2.7252,1
41,0.7755,0.7366,1.0018,335.04798,335.04773,335.04837,2.74E6,1.544E5,1.079E5,2.74E6,0,DETECTED,335.04798,335.04773,335.04837,0.7755,0.7366,1.0018,2.74E6,1.544E5,1.079E5,2.74E6,0.0437,3.0939,4.0216,
