formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C11H18N2O6,[M + H]+,C11H19N2O6+,Alkaloids,0,397,Phloroglucinols,0,173,Phenylethylamines,0,133,Benzenoids,0,953,Benzene and substituted derivatives,0,937,Aniline and substituted anilines,0,811,Methoxyanilines,0,552,Methoxyanilines,0,552,Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Phenols; Anisoles; Ethers; Organic acids and derivatives; Organonitrogen compounds; Aniline and substituted anilines; Primary alcohols; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Amines; Primary amines; Organic oxides; Methoxyanilines; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,275,124,61,1,017,685521902684491349,685521477247813233,163,
1,C12H23NO8,[M + H]+,C12H24NO8+,Carbohydrates,0,994,Aminosugars and aminoglycosides,0,956,Aminosugars,0,964,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,961,Glycosyl compounds,0,516,Glycosyl compounds,0,516,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; Polyols; Methyl esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,310,150,61,1,018,685521905582755896,685521477155538535,160,
1,C12H20N2O6,[M + H]+,C12H21N2O6+,Carbohydrates,0,701,Aminosugars and aminoglycosides,0,585,Aminosugars,0,396,Organic acids and derivatives,0,997,Carboxylic acids and derivatives,0,993,"Amino acids, peptides, and analogues",0,582,Amino acids and derivatives,0,580,Amino acids and derivatives,0,580,"Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Methyl esters; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",289,140,61,1,018,685521926214539929,685521477113595490,159,
1,C11H18N2O5,[M + H]+,C11H19N2O5+,Alkaloids,0,824,Tyrosine alkaloids,0,118,Pyridine alkaloids,0,099,Benzenoids,0,536,Phenol ethers,0,695,Anisoles,0,695,,,Anisoles,0,695,Organic compounds; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Ethers; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carbonyl compounds; Phenol ethers; Benzenoids; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,259,129,61,1,020,685521914499847583,685521477201675884,162,
1,C13H25NO8,[M + H]+,C13H26NO8+,Carbohydrates,0,990,Polyols,0,778,Amino cyclitols,0,472,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,898,Aminosaccharides,0,504,Aminosaccharides,0,504,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Polyols; Amines; Alkanolamines; Aminosaccharides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",324,166,61,1,020,685521916613777212,685521477340087931,165,
1,C12H22N2O7,[M + H]+,C12H23N2O7+,Carbohydrates,0,849,Polyols,0,485,Amino cyclitols,0,465,Organic acids and derivatives,0,921,Carboxylic acids and derivatives,0,897,Carboxylic acid derivatives,0,866,Carboxylic acid amides,0,863,Secondary carboxylic acid amides,0,763,Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Cyclic alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,307,150,61,1,020,685521921080711381,685521476983572051,155,
1,C12H17N5O4,[M + H]+,C12H18N5O4+,Carbohydrates,0,379,Nucleosides,0,216,Purine nucleosides,0,174,Organoheterocyclic compounds,0,994,Pteridines and derivatives,0,649,Pterins and derivatives,0,721,Biopterins and derivatives,0,816,Biopterins and derivatives,0,816,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Pteridines and derivatives; Pterins and derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Biopterins and derivatives; Secondary alcohols; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,296,135,61,1,020,685521920539646101,685521476891297353,152,
1,C12H23NO9,[M + H]+,C12H24NO9+,Carbohydrates,0,995,Aminosugars and aminoglycosides,0,863,Aminosugars,0,899,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,990,Glycosyl compounds,0,820,O-glycosyl compounds,0,749,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,326,145,61,1,021,685521920661280945,685521476941629006,154,
1,C14H22N2O8,[M + H]+,C14H23N2O8+,Amino acids and Peptides,0,494,Mycosporine derivatives,0,629,Mycosporine and Mycosporine-like amino acids,0,633,Benzenoids,0,394,Benzene and substituted derivatives,0,547,,,,,Benzene and substituted derivatives,0,547,"Organic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Benzene and substituted derivatives; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",347,145,61,1,021,685521930400455532,685521477428168325,168,
1,C11H21NO7,[M + H]+,C11H22NO7+,Carbohydrates,0,916,Polyols,0,711,Aminosugars,0,586,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,614,,,Carbohydrates and carbohydrate conjugates,0,614,Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Methyl esters; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,280,139,61,1,022,685521927749655346,685521477293950582,164,
1,C11H23NO6,[M + H]+,C11H24NO6+,Amino acids and Peptides,0,645,Small peptides,0,171,Monoacylglycerols,0,185,Lipids and lipid-like molecules,0,657,Glycerolipids,0,558,,,,,Glycerolipids,0,558,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Acetals; Secondary alcohols; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,266,160,61,1,022,685521932472441848,685521477382030976,167,
1,C12H21NO7,[M + H]+,C12H22NO7+,Amino acids and Peptides,0,657,Polyols,0,515,Mycosporine and Mycosporine-like amino acids,0,362,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,595,,,Carbohydrates and carbohydrate conjugates,0,595,Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Polyols; Methyl esters; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,292,139,61,1,022,685521936196984122,685521477704992419,179,
1,C12H22N6O4S2,[M + H]+,C12H23N6O4S2+,Amino acids and Peptides,0,907,Oligopeptides,0,737,Cyclamides,0,840,Organoheterocyclic compounds,0,977,Azoles,0,884,Thiazoles,0,566,,,Thiazoles,0,566,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Thioethers; Carbonyl compounds; Dialkylamines; Amines; Secondary amines; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,379,122,61,1,022,685521943608320031,685521477067458141,157,
1,C13H20N2O5,[M + H]+,C13H21N2O5+,Alkaloids,0,715,Small peptides,0,161,Dipeptides,0,098,Organic acids and derivatives,0,976,Carboxylic acids and derivatives,0,960,"Amino acids, peptides, and analogues",0,730,Amino acids and derivatives,0,727,Amino acids and derivatives,0,727,"Organic compounds; Amino acids, peptides, and analogues; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aniline and substituted anilines; Anilides; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Acetamides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",285,145,61,1,024,685521944271020101,685521477663049374,178,
1,C11H23NO2,[M + H]+,C11H24NO2+,Alkaloids,0,263,Fatty amides,0,378,Piperidine alkaloids,0,066,Organic nitrogen compounds,1,000,Organonitrogen compounds,1,000,Amines,0,967,Alkanolamines,0,833,"1,2-aminoalcohols",0,761,"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",202,180,62,1,026,685521936566082922,685521477562386068,173,
1,C11H19NO6,[M + H]+,C11H20NO6+,Amino acids and Peptides,0,769,Mycosporine derivatives,0,345,Mycosporine and Mycosporine-like amino acids,0,345,Organic acids and derivatives,0,972,Carboxylic acids and derivatives,0,978,"Amino acids, peptides, and analogues",0,598,Amino acids and derivatives,0,598,Amino acids and derivatives,0,598,"Organic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Methyl esters; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",262,129,62,1,026,685521938914893497,685521477612717721,175,
1,C14H27NO8,[M + H]+,C14H28NO8+,Carbohydrates,0,841,Aminosugars and aminoglycosides,0,404,Cyanogenic glycosides,0,179,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,899,Monosaccharides,0,781,Monosaccharides,0,781,Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Polyols; Amines; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,338,181,62,1,026,685521942245171127,685521477474305674,171,
1,C15H29NO8,[M + H]+,C15H30NO8+,Fatty acids,0,711,Fatty esters,0,207,N-acyl amines,0,131,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,888,Monosaccharides,0,862,Monosaccharides,0,862,Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Polyols; Amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,352,197,62,1,028,685521946200400281,685521477788878509,183,
1,C10H13NO2,[M + H]+,C10H14NO2+,Alkaloids,0,922,Nicotinic acid alkaloids,0,835,Pyridine alkaloids,0,835,Organoheterocyclic compounds,0,723,Pyridines and derivatives,0,489,Methylpyridines,0,591,,,Methylpyridines,0,591,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,180,102,62,1,030,685521946343006690,685521477872764599,188,
1,C12H16N4O5,[M + Na]+,C12H16N4NaO5+,Carbohydrates,0,862,Nucleosides,0,915,Purine nucleosides,0,623,Organic oxygen compounds,1,000,Organooxygen compounds,0,994,Carbohydrates and carbohydrate conjugates,0,819,Glycosyl compounds,0,714,Glycosylamines,0,810,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Glycosyl compounds; Glycosylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",319,100,62,1,031,685521946791797285,685521477520443023,172,
1,C12H22O9,[M + Na]+,C12H22NaO9+,Carbohydrates,0,668,Saccharides,0,619,Monosaccharides,0,254,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,834,Monosaccharides,0,687,Monosaccharides,0,687,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organooxygen compounds; Dialkyl ethers; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,333,116,62,1,034,685521954198940098,685521477746935464,181,
1,C15H22N2O7,[M + H]+,C15H23N2O7+,Amino acids and Peptides,0,695,Tyrosine alkaloids,0,139,Dipeptides,0,084,Organic acids and derivatives,0,975,Carboxylic acids and derivatives,0,971,"Amino acids, peptides, and analogues",0,740,Amino acids and derivatives,0,741,Amino acids and derivatives,0,741,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",343,150,63,1,042,685521953624320341,685521477914707644,189,
1,C9H12N4O2,[M + Na]+,C9H12N4NaO2+,Alkaloids,0,851,Pseudoalkaloids (transamidation),0,406,Purine alkaloids,0,569,Organoheterocyclic compounds,0,967,Diazines,0,625,Pyrimidines and pyrimidine derivatives,0,650,Pyrimidones,0,553,Pyrimidones,0,553,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Diazines; Amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,231,084,63,1,043,685521952290531253,685521477830821554,186,
1,C14H24N2O6,[M + H]+,C14H25N2O6+,Alkaloids,0,390,Phloroglucinols,0,050,Phenylethylamines,0,044,Benzenoids,0,956,Benzene and substituted derivatives,0,900,Aniline and substituted anilines,0,885,Methoxyanilines,0,770,Methoxyanilines,0,770,Organic compounds; Alkyl aryl ethers; Anisoles; Ethers; Organonitrogen compounds; Aniline and substituted anilines; Organooxygen compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Organic oxides; Methoxyanilines; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aminophenyl ethers; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,317,171,63,1,050,685521954513512941,685521477960844993,190,
1,C10H24N2O6S,[M + Na]+,C10H24N2NaO6S+,Fatty acids,0,439,Small peptides,0,407,N-acyl amines,0,731,Organic acids and derivatives,0,964,Carboxylic acids and derivatives,0,675,"Amino acids, peptides, and analogues",0,696,Amino acids and derivatives,0,692,Amino acids and derivatives,0,692,"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; N-acyl amines; Sulfonyls; Carboxylic acids; Dialkylamines; Amines; Secondary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",323,127,64,1,059,685521953678846314,685521478006982342,192,
1,C10H14N4O2,[M + Na]+,C10H14N4NaO2+,Alkaloids,0,931,Guanidine alkaloids,0,110,Tricyclic guanidine alkaloids,0,066,"Organic 1,3-dipolar compounds",0,867,"Allyl-type 1,3-dipolar organic compounds",0,887,Organic nitro compounds,0,909,C-nitro compounds,0,849,Nitroaromatic compounds,0,670,"Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organic nitro compounds; Organic oxoazanium compounds; Amines; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities",245,100,64,1,072,685521952101787456,685521478128617173,196,
1,C14H26O10,[M + Na]+,C14H26NaO10+,Carbohydrates,0,206,Fatty acyl glycosides,0,430,Fatty acyl glycosides of mono- and disaccharides,0,162,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,946,Glycosyl compounds,0,715,O-glycosyl compounds,0,763,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organooxygen compounds; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Methyl esters; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,377,143,64,1,074,685521965980741743,685521478086674128,195,
1,C12H12OSi,[M + H]+,C12H13OSi+,Shikimates and Phenylpropanoids,0,366,Flavonoids,0,184,Chalcones,0,197,Benzenoids,0,974,Benzene and substituted derivatives,0,536,,,,,Benzene and substituted derivatives,0,536,Organic compounds; Organohalogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,201,073,65,1,077,685521963137003029,685521478048925387,194,
1,C12H23NO8,[M + H]+,C12H24NO8+,Carbohydrates,0,966,Aminosugars and aminoglycosides,0,821,Aminosugars,0,768,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,965,Monosaccharides,0,824,Hexoses,0,505,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Polyols; Methyl esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,310,150,65,1,080,685521965380956190,685521478174754522,197,
1,C22H37N3O13,[M + Na]+,C22H37N3NaO13+,Amino acids and Peptides,0,381,Aminosugars and aminoglycosides,0,228,Tripeptides,0,082,Organic acids and derivatives,0,999,Carboxylic acids and derivatives,0,997,"Amino acids, peptides, and analogues",0,843,Amino acids and derivatives,0,838,N-acyl-alpha amino acids and derivatives,0,804,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",574,224,65,1,080,685521977464746630,685521478216697567,199,
1,C15H24N2O8,[M + H]+,C15H25N2O8+,Alkaloids,0,394,Mycosporine derivatives,0,104,Mycosporine and Mycosporine-like amino acids,0,107,Organic acids and derivatives,0,794,Carboxylic acids and derivatives,0,771,"Amino acids, peptides, and analogues",0,593,Amino acids and derivatives,0,595,Amino acids and derivatives,0,595,"Organic compounds; Amino acids, peptides, and analogues; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aniline and substituted anilines; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Organic oxides; Methoxyanilines; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aminophenyl ethers; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",361,161,65,1,080,685521967222256007,685521478262834916,200,
1,C12H17N5O4,[M + H]+,C12H18N5O4+,Carbohydrates,0,812,Nucleosides,0,713,Purine nucleosides,0,621,Organoheterocyclic compounds,0,994,Imidazopyrimidines,0,567,Purines and purine derivatives,0,565,,,Purines and purine derivatives,0,565,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,296,135,65,1,086,685521968488935904,685521478392858355,206,
1,C13H22O11,[M + Na]+,C13H22NaO11+,Shikimates and Phenylpropanoids,0,531,Phenolic acids (C6-C1),0,254,Simple phenolic acids,0,126,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,998,Glycosyl compounds,0,927,Phenolic glycosides,0,730,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Alcohols and polyols; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Glucuronides; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; O-glucuronides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Phenoxy compounds; Chemical entities,377,106,65,1,090,685521992190948247,685521478308972265,203,
1,C9H14F3NO3,[M + H]+,C9H15F3NO3+,Alkaloids,0,807,Small peptides,0,215,Phenylethylamines,0,166,Organic acids and derivatives,0,689,Carboxylic acids and derivatives,0,666,"Amino acids, peptides, and analogues",0,581,Amino acids and derivatives,0,582,Amino acids and derivatives,0,582,"Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Carboxylic acid derivatives; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",242,100,66,1,096,685521993617012104,685521478350915310,205,
