formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C10H16N2O5,[M + H]+,C10H17N2O5+,Amino acids and Peptides,0,687,Mycosporine derivatives,0,420,Mycosporine and Mycosporine-like amino acids,0,423,Organic acids and derivatives,0,812,Carboxylic acids and derivatives,0,736,"Amino acids, peptides, and analogues",0,523,Amino acids and derivatives,0,524,Alpha amino acids,0,505,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",245,113,47,0,786,685521743812623041,685521473896564017,23,
1,C9H19NO4,[M + H]+,C9H20NO4+,Fatty acids,0,988,Fatty esters,0,992,Fatty acyl carnitines,0,992,Lipids and lipid-like molecules,0,779,Fatty Acyls,0,790,Fatty acid esters,0,550,Acyl carnitines,0,572,Acyl carnitines,0,572,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Quaternary ammonium salts; Carboxylic acid derivatives; Acyl carnitines; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,206,139,48,0,794,685521743481272916,685521474064336192,29,
1,C23H28N4O7S,[M + Na]+,C23H28N4NaO7S+,Amino acids and Peptides,0,833,Oligopeptides,0,460,Cyclamides,0,243,Organic acids and derivatives,0,998,Carboxylic acids and derivatives,0,993,"Amino acids, peptides, and analogues",0,819,Amino acids and derivatives,0,815,N-acyl-alpha amino acids and derivatives,0,673,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",527,159,48,0,794,685521761198016657,685521473837843756,22,
1,C24H42O21,[M + Na]+,C24H42NaO21+,Carbohydrates,1,000,Saccharides,1,000,Polysaccharides,0,988,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,1,000,Oligosaccharides,0,993,Oligosaccharides,0,993,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Oligosaccharides; Ethers; Primary alcohols; Organooxygen compounds; Hemiacetals; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; C-glycosyl compounds; O-glycosyl compounds; Polyols; Tetrahydrofurans; Oxacyclic compounds; Hydrocarbon derivatives; Ketals; Organic oxygen compounds; Chemical entities,689,211,48,0,795,685521746828328733,685521474118862149,30,
1,C7H12BNO4S,[M + H]+,C7H13BNO4S+,Amino acids and Peptides,0,786,Small peptides,0,933,Aminoacids,0,901,Organic acids and derivatives,0,997,Carboxylic acids and derivatives,0,925,"Amino acids, peptides, and analogues",0,706,Amino acids and derivatives,0,706,Alpha amino acids and derivatives,0,688,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Boronic acids; Organometallic compounds; Boronic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Carbonyl compounds; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Alkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",217,069,48,0,798,685521775148273999,685521474177582410,32,
1,C13H24O11,[M + Na]+,C13H24NaO11+,Carbohydrates,0,504,Saccharides,0,588,Disaccharides,0,729,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,996,Glycosyl compounds,0,937,O-glycosyl compounds,0,931,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Methyl esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,379,122,48,0,800,685521791006939165,685521474286634324,39,
1,C12H23NO8,[M + H]+,C12H24NO8+,Amino acids and Peptides,0,884,Amino acid glycosides,0,914,Cyanogenic glycosides,0,903,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,959,Glycosyl compounds,0,615,Glycosyl compounds,0,615,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Polyols; Methyl esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,310,150,48,0,801,685521747277119373,685521474232108367,38,
1,C12H22N2O7,[M + H]+,C12H23N2O7+,Carbohydrates,0,528,Polyols,0,733,Amino cyclitols,0,584,Organic acids and derivatives,0,927,Carboxylic acids and derivatives,0,887,"Amino acids, peptides, and analogues",0,725,Amino acids and derivatives,0,721,Amino acids and derivatives,0,721,"Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Cyclic alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Amines; Primary amines; Cyclitols and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",307,150,48,0,803,685521784128279848,685521474391491934,42,
1,C12H27N3O7,[M + Na]+,C12H27N3NaO7+,Carbohydrates,0,873,Aminosugars and aminoglycosides,0,745,Aminoglycosides,0,301,Organic acids and derivatives,0,930,Carboxylic acids and derivatives,0,846,"Amino acids, peptides, and analogues",0,693,Amino acids and derivatives,0,688,Amino acids and derivatives,0,688,"Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",348,176,48,0,804,685521775982940659,685521474441823587,44,
1,C11H21NO7,[M + H]+,C11H22NO7+,Carbohydrates,0,843,Aminosugars and aminoglycosides,0,725,Aminosugars,0,592,Organic oxygen compounds,1,000,Organooxygen compounds,1,000,Carbohydrates and carbohydrate conjugates,0,786,Monosaccharides,0,530,Monosaccharides,0,530,Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,280,139,48,0,804,685521747184844650,685521474341160281,40,
