id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML:fragment_scans
1,0.6497,0.6231,0.7161,194.96623,194.96613,194.96646,3.864E6,9.431E4,2.424E5,3.864E6,1,DETECTED,194.96623,194.96613,194.96646,0.6497,0.6231,0.7161,3.864E6,9.431E4,2.424E5,3.864E6,0.0202,1.5884,3.078,1
2,0.6497,0.6231,6.4962,222.96112,222.96051,222.96143,4.855E6,1.148E5,1.019E5,4.855E6,1,DETECTED,222.96112,222.96051,222.96143,0.6497,0.6231,6.4962,4.855E6,1.148E5,1.019E5,4.855E6,0.0194,1.392,3.0117,1
3,0.6705,0.6391,0.7335,215.99345,215.99336,215.99359,1.878E7,6.513E5,2.601E5,1.878E7,1,DETECTED,215.99345,215.99336,215.99359,0.6705,0.6391,0.7335,1.878E7,6.513E5,2.601E5,1.878E7,0.0361,1.5918,2.2033,1
4,0.7161,0.6985,1.0051,164.92046,164.92036,164.92053,4.106E6,2.955E5,1.64E5,4.106E6,0,DETECTED,164.92046,164.92036,164.92053,0.7161,0.6985,1.0051,4.106E6,2.955E5,1.64E5,4.106E6,0.031,8.0847,14.0273,
5,0.7161,0.6985,15.9845,430.91389,430.91357,430.91705,1.028E7,3.709E5,1.543E5,1.028E7,0,DETECTED,430.91389,430.91357,430.91705,0.7161,0.6985,15.9845,1.028E7,3.709E5,1.543E5,1.028E7,15.1923,435.0495,868.0886,
6,0.7161,0.6985,15.9845,498.90104,498.90079,498.90173,6.837E6,2.555E5,1.03E5,6.837E6,0,DETECTED,498.90104,498.90079,498.90173,0.7161,0.6985,15.9845,6.837E6,2.555E5,1.03E5,6.837E6,15.1851,432.574,868.1949,
7,0.7161,0.6985,15.9649,566.88845,566.88806,566.88916,6.871E6,2.504E5,2.688E5,6.871E6,0,DETECTED,566.88845,566.88806,566.88916,0.7161,0.6985,15.9649,6.871E6,2.504E5,2.688E5,6.871E6,15.1856,435.06,868.1058,
8,0.7161,0.6985,15.9649,634.87563,634.87518,634.87616,8.693E6,3.035E5,2.692E5,8.693E6,1,DETECTED,634.87563,634.87518,634.87616,0.7161,0.6985,15.9649,8.693E6,3.035E5,2.692E5,8.693E6,15.1874,434.9741,868.1084,1
9,0.7161,0.6985,15.9649,702.86286,702.8623,702.8634,8.497E6,2.962E5,2.325E5,8.497E6,0,DETECTED,702.86286,702.8623,702.8634,0.7161,0.6985,15.9649,8.497E6,2.962E5,2.325E5,8.497E6,15.1867,434.9727,868.1183,
10,0.7335,0.6985,11.7132,270.14184,270.1398,270.14517,1.493E6,1.226E5,1E5,1.493E6,0,DETECTED,270.14184,270.1398,270.14517,0.7335,0.6985,11.7132,1.493E6,1.226E5,1E5,1.493E6,8.362,102.4986,430.583,
