id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML:fragment_scans
1,0.7195,0.7042,1.0143,164.92064,164.92024,164.92093,4.067E6,2.855E5,1.572E5,4.067E6,0,DETECTED,164.92064,164.92024,164.92093,0.7195,0.7042,1.0143,4.067E6,2.855E5,1.572E5,4.067E6,0.0793,9.3347,16.3133,
2,0.7195,0.6385,0.7539,272.94402,272.94171,272.9447,3.824E6,1.098E5,2.533E5,3.824E6,1,DETECTED,272.94402,272.94171,272.9447,0.7195,0.6385,0.7539,3.824E6,1.098E5,2.533E5,3.824E6,0.0221,0.6918,0.2067,1
3,0.7195,0.681,16.0019,430.91351,430.91333,430.91663,2.054E7,5.458E5,1.051E5,2.054E7,1,DETECTED,430.91351,430.91333,430.91663,0.7195,0.681,16.0019,2.054E7,5.458E5,1.051E5,2.054E7,15.1983,0.9872,1091.4038,1
4,0.734,0.7042,1.0143,363.03373,363.03278,363.0343,3.254E6,2.262E5,1.027E5,3.254E6,1,DETECTED,363.03373,363.03278,363.0343,0.734,0.7042,1.0143,3.254E6,2.262E5,1.027E5,3.254E6,0.0359,4.6858,2.7607,1
5,0.777,0.7195,5.3925,236.14961,236.14748,236.14998,5.324E6,2.62E5,1.043E5,5.324E6,3,DETECTED,236.14961,236.14748,236.14998,0.777,0.7195,5.3925,5.324E6,2.62E5,1.043E5,5.324E6,0.7953,3.1766,7.185,3
6,0.777,0.7539,1.0143,244.07985,244.07951,244.08022,4.136E6,1.539E5,1.509E5,4.136E6,0,DETECTED,244.07985,244.07951,244.08022,0.777,0.7539,1.0143,4.136E6,1.539E5,1.509E5,4.136E6,0.5743,5.0747,2.4208,
7,0.777,0.7539,12.1084,245.11374,245.1133,245.11475,3.754E7,1.51E6,1.117E5,3.754E7,2,DETECTED,245.11374,245.1133,245.11475,0.777,0.7539,12.1084,3.754E7,1.51E6,1.117E5,3.754E7,0.3385,2.4911,7.5138,2
8,0.777,0.7539,8.7475,271.10796,271.10745,271.11011,5.783E5,2.129E5,1.005E5,5.783E5,0,DETECTED,271.10796,271.10745,271.11011,0.777,0.7539,8.7475,5.783E5,2.129E5,1.005E5,5.783E5,5.7054,173.0287,490.7946,
9,0.777,0.7539,11.3436,333.13258,333.12891,333.13318,6.964E6,1.68E6,1.068E5,6.964E6,10,DETECTED,333.13258,333.12891,333.13318,0.777,0.7539,11.3436,6.964E6,1.68E6,1.068E5,6.964E6,7.1425,104.1417,221.5192,10
10,0.777,0.734,7.3822,335.09556,335.09311,335.09607,1.951E6,1.163E5,1.074E5,1.951E6,0,DETECTED,335.09556,335.09311,335.09607,0.777,0.734,7.3822,1.951E6,1.163E5,1.074E5,1.951E6,0.0323,77.0991,8.8202,
11,0.777,0.7042,7.9151,365.10623,365.10263,365.10666,6.102E6,4.269E5,1.085E5,6.102E6,2,DETECTED,365.10623,365.10263,365.10666,0.777,0.7042,7.9151,6.102E6,4.269E5,1.085E5,6.102E6,0.2147,2.4439,3.4202,2
12,0.777,0.7042,8.5287,527.15777,527.15417,527.16028,1.461E6,1.179E5,1.011E5,1.461E6,0,DETECTED,527.15777,527.15417,527.16028,0.777,0.7042,8.5287,1.461E6,1.179E5,1.011E5,1.461E6,0.0337,2.0373,142.1413,
13,0.7998,0.777,7.6317,166.08633,166.08606,166.08675,7.543E5,2.656E5,1.003E5,7.543E5,1,DETECTED,166.08633,166.08606,166.08675,0.7998,0.777,7.6317,7.543E5,2.656E5,1.003E5,7.543E5,0.2369,149.9693,243.2565,1
14,0.7998,0.777,8.3023,180.10199,180.10139,180.10234,2.055E6,7.461E5,1.007E5,2.055E6,4,DETECTED,180.10199,180.10139,180.10234,0.7998,0.777,8.3023,2.055E6,7.461E5,1.007E5,2.055E6,0.2715,140.7578,250.0016,4
15,0.7998,0.777,6.3726,202.18045,202.18005,202.18066,4.919E6,3.194E5,1.007E5,4.919E6,2,DETECTED,202.18045,202.18005,202.18066,0.7998,0.777,6.3726,4.919E6,3.194E5,1.007E5,4.919E6,0.2513,2.6653,10.7671,2
16,0.7998,0.734,1.5045,206.13902,206.13857,206.13931,7.369E5,1.177E5,1.085E5,7.369E5,3,DETECTED,206.13902,206.13857,206.13931,0.7998,0.734,1.5045,7.369E5,1.177E5,1.085E5,7.369E5,0.2496,5.8501,2.3389,3
17,0.7998,0.7539,1.0458,217.06878,217.06831,217.06895,3.381E6,3.247E5,1.261E5,3.381E6,2,DETECTED,217.06878,217.06831,217.06895,0.7998,0.7539,1.0458,3.381E6,3.247E5,1.261E5,3.381E6,0.0626,3.0037,4.7244,2
18,0.7998,0.777,5.9654,228.08463,228.08388,228.08653,6.953E5,7.294E4,1.117E5,6.953E5,1,DETECTED,228.08463,228.08388,228.08653,0.7998,0.777,5.9654,6.953E5,7.294E4,1.117E5,6.953E5,0.1173,113.5142,13.9447,1
19,0.7998,0.777,1.8801,231.08437,231.08394,231.08464,1.967E6,3.04E5,1.148E5,1.967E6,3,DETECTED,231.08437,231.08394,231.08464,0.7998,0.777,1.8801,1.967E6,3.04E5,1.148E5,1.967E6,0.2905,4.922,6.2278,3
20,0.7998,0.777,4.5469,232.11817,232.11633,232.11884,5.193E5,1.665E5,1.004E5,5.193E5,0,DETECTED,232.11817,232.11633,232.11884,0.7998,0.777,4.5469,5.193E5,1.665E5,1.004E5,5.193E5,3.7278,82.4795,39.7767,
