id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML:fragment_scans
1,0.7233,0.6868,1.0334,164.92061,164.92049,164.92081,4.008E6,2.878E5,1.351E5,4.008E6,0,DETECTED,164.92061,164.92049,164.92081,0.7233,0.6868,1.0334,4.008E6,2.878E5,1.351E5,4.008E6,0.026,9.5593,4.4747,
2,0.7233,0.7056,15.9876,430.91397,430.91379,430.91702,1.816E7,5.106E5,1.52E5,1.816E7,1,DETECTED,430.91397,430.91379,430.91702,0.7233,0.7056,15.9876,1.816E7,5.106E5,1.52E5,1.816E7,15.2197,425.8225,853.7405,1
3,0.7233,0.7056,15.9876,498.90115,498.90106,498.90179,1.215E7,3.48E5,1.012E5,1.215E7,0,DETECTED,498.90115,498.90106,498.90179,0.7233,0.7056,15.9876,1.215E7,3.48E5,1.012E5,1.215E7,15.2092,425.782,853.8671,
4,0.7233,0.7056,15.9669,566.88858,566.88843,566.88922,1.485E7,3.887E5,2.773E5,1.485E7,0,DETECTED,566.88858,566.88843,566.88922,0.7233,0.7056,15.9669,1.485E7,3.887E5,2.773E5,1.485E7,15.2267,427.7487,853.7818,
5,0.7233,0.7056,15.9669,634.8758,634.87567,634.87622,1.854E7,4.689E5,3.097E5,1.854E7,0,DETECTED,634.8758,634.87567,634.87622,0.7233,0.7056,15.9669,1.854E7,4.689E5,3.097E5,1.854E7,15.2279,427.6438,853.2738,
6,0.7233,0.7056,15.9669,702.86308,702.86292,702.86383,2.196E7,5.3E5,2.672E5,2.196E7,0,DETECTED,702.86308,702.86292,702.86383,0.7233,0.7056,15.9669,2.196E7,5.3E5,2.672E5,2.196E7,15.2383,427.5273,852.8477,
7,0.7233,0.6674,15.9669,770.85055,770.84314,770.85095,1.988E7,4.694E5,1.11E5,1.988E7,0,DETECTED,770.85055,770.84314,770.85095,0.7233,0.6674,15.9669,1.988E7,4.694E5,1.11E5,1.988E7,16.9262,41.3801,42.8617,
8,0.7403,0.7056,1.1084,363.03338,363.03226,363.034,1.427E7,8.911E5,1.037E5,1.427E7,1,DETECTED,363.03338,363.03226,363.034,0.7403,0.7056,1.1084,1.427E7,8.911E5,1.037E5,1.427E7,0.0566,3.1031,4.1593,1
9,0.7403,0.7056,9.835,439.1409,439.138,439.14471,6.71E6,9.064E5,1E5,6.71E6,3,DETECTED,439.1409,439.138,439.14471,0.7403,0.7056,9.835,6.71E6,9.064E5,1E5,6.71E6,0.0309,5.9338,8.6467,3
10,0.7634,0.7403,9.1854,252.14426,252.14218,252.14632,2.749E6,1.514E5,1.02E5,2.749E6,0,DETECTED,252.14426,252.14218,252.14632,0.7634,0.7403,9.1854,2.749E6,1.514E5,1.02E5,2.749E6,0.0448,4.3053,3.3753,
