id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML:fragment_scans
1,0.723,0.7029,1.0117,164.92059,164.92043,164.92085,3.942E6,2.609E5,1.287E5,3.942E6,0,DETECTED,164.92059,164.92043,164.92085,0.723,0.7029,1.0117,3.942E6,2.609E5,1.287E5,3.942E6,0.0412,6.5776,12.519,
2,0.723,0.7029,15.9845,430.91362,430.91333,430.91672,2.209E7,6.387E5,1.099E5,2.209E7,0,DETECTED,430.91362,430.91333,430.91672,0.723,0.7029,15.9845,2.209E7,6.387E5,1.099E5,2.209E7,15.2262,379.0664,756.1778,
3,0.7661,0.723,5.4054,236.14952,236.14751,236.14981,3.284E6,2.33E5,1.016E5,3.284E6,3,DETECTED,236.14952,236.14751,236.14981,0.7661,0.723,5.4054,3.284E6,2.33E5,1.016E5,3.284E6,0.0664,3.3438,2.0679,3
4,0.7661,0.7029,7.9195,365.10605,365.10281,365.10666,7.234E6,4.05E5,1.027E5,7.234E6,3,DETECTED,365.10605,365.10281,365.10666,0.7661,0.7029,7.9195,7.234E6,4.05E5,1.027E5,7.234E6,0.037,0.9967,2.8802,3
5,0.7896,0.7428,1.2903,206.13892,206.13869,206.13916,8.9E5,1.131E5,1.056E5,8.9E5,1,DETECTED,206.13892,206.13869,206.13916,0.7896,0.7428,1.2903,8.9E5,1.131E5,1.056E5,8.9E5,0.4682,5.8502,3.2296,1
6,0.7896,0.7661,1.115,217.06859,217.06819,217.06883,9.598E6,4.112E5,1.017E5,9.598E6,2,DETECTED,217.06859,217.06819,217.06883,0.7896,0.7661,1.115,9.598E6,4.112E5,1.017E5,9.598E6,0.0346,3.3841,5.2023,2
7,0.7896,0.7428,0.9666,244.07964,244.07944,244.07982,2.288E6,1.153E5,1.154E5,2.288E6,0,DETECTED,244.07964,244.07944,244.07982,0.7896,0.7428,0.9666,2.288E6,1.153E5,1.154E5,2.288E6,0.2653,2.1577,2.56,
8,0.7896,0.7661,12.1139,245.11358,245.11296,245.11504,3.12E7,1.243E6,1.064E5,3.12E7,2,DETECTED,245.11358,245.11296,245.11504,0.7896,0.7661,12.1139,3.12E7,1.243E6,1.064E5,3.12E7,0.3622,3.3784,8.6853,2
9,0.7896,0.7428,1.0901,247.07917,247.07903,247.07941,1.214E6,7.816E4,1.076E5,1.214E6,0,DETECTED,247.07917,247.07903,247.07941,0.7896,0.7428,1.0901,1.214E6,7.816E4,1.076E5,1.214E6,0.0317,3.4716,10.5636,
10,0.7896,0.7428,10.8743,333.13028,333.12888,333.1329,4.507E6,2.869E5,1.001E5,4.507E6,6,DETECTED,333.13028,333.12888,333.1329,0.7896,0.7428,10.8743,4.507E6,2.869E5,1.001E5,4.507E6,0.0241,6.9512,2.6177,6
11,0.7896,0.723,1.0346,335.09542,335.09506,335.09576,1.782E6,1.17E5,1.076E5,1.782E6,0,DETECTED,335.09542,335.09506,335.09576,0.7896,0.723,1.0346,1.782E6,1.17E5,1.076E5,1.782E6,0.1707,2.1363,2.3019,
12,0.8078,0.7896,8.1558,166.08635,166.086,166.08675,8.809E5,2.83E5,1E5,8.809E5,2,DETECTED,166.08635,166.086,166.08675,0.8078,0.7896,8.1558,8.809E5,2.83E5,1E5,8.809E5,5.52,202.1021,86.4587,2
13,0.8078,0.7896,8.2771,180.102,180.10164,180.10237,2.45E6,7.161E5,1.002E5,2.45E6,2,DETECTED,180.102,180.10164,180.10237,0.8078,0.7896,8.2771,2.45E6,7.161E5,1.002E5,2.45E6,0.4543,121.3063,34.4737,2
14,0.8078,0.7896,6.3918,202.18037,202.17998,202.18059,5.423E6,2.158E5,1.022E5,5.423E6,1,DETECTED,202.18037,202.17998,202.18059,0.8078,0.7896,6.3918,5.423E6,2.158E5,1.022E5,5.423E6,0.0287,3.8239,6.2834,1
15,0.8078,0.7896,8.6156,244.10545,244.10425,244.10602,2.62E6,1.564E5,1.002E5,2.62E6,0,DETECTED,244.10545,244.10425,244.10602,0.8078,0.7896,8.6156,2.62E6,1.564E5,1.002E5,2.62E6,0.0292,212.5164,3.7172,
