id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML:fragment_scans
1,0.7214,0.6828,1.0095,164.92063,164.92036,164.92091,3.477E6,3.056E5,1.218E5,3.477E6,0,DETECTED,164.92063,164.92036,164.92091,0.7214,0.6828,1.0095,3.477E6,3.056E5,1.218E5,3.477E6,0.1961,7.9722,14.7822,
2,0.7214,0.6828,15.9952,430.91366,430.91357,430.91684,2.326E7,6.005E5,1.06E5,2.326E7,0,DETECTED,430.91366,430.91357,430.91684,0.7214,0.6828,15.9952,2.326E7,6.005E5,1.06E5,2.326E7,15.4261,447.7569,940.3557,
3,0.7611,0.7039,1.0095,365.10624,365.10516,365.10675,5.061E6,3.978E5,3.144E5,5.061E6,3,DETECTED,365.10624,365.10516,365.10675,0.7611,0.7039,1.0095,5.061E6,3.978E5,3.144E5,5.061E6,0.0513,3.4799,1.1105,3
4,0.7852,0.7611,1.0402,217.06866,217.06848,217.06885,6.374E6,3.932E5,1.468E5,6.374E6,2,DETECTED,217.06866,217.06848,217.06885,0.7852,0.7611,1.0402,6.374E6,3.932E5,1.468E5,6.374E6,0.0411,5.1851,7.4337,2
5,0.7852,0.7214,5.3824,236.14963,236.14749,236.14996,2.708E6,2.012E5,1.014E5,2.708E6,2,DETECTED,236.14963,236.14749,236.14996,0.7852,0.7214,5.3824,2.708E6,2.012E5,1.014E5,2.708E6,0.376,2.2617,0.4579,2
6,0.7852,0.7369,1.0095,244.07971,244.07941,244.07996,2.875E6,1.349E5,1.576E5,2.875E6,0,DETECTED,244.07971,244.07941,244.07996,0.7852,0.7369,1.0095,2.875E6,1.349E5,1.576E5,2.875E6,0.395,2.6823,0.6933,
7,0.7852,0.7611,12.0964,245.11368,245.1132,245.11455,3.425E7,1.278E6,1.059E5,3.425E7,2,DETECTED,245.11368,245.1132,245.11455,0.7852,0.7611,12.0964,3.425E7,1.278E6,1.059E5,3.425E7,0.32,2.2389,5.4293,2
8,0.7852,0.7611,1.0297,247.07919,247.07893,247.07948,1.044E6,7.432E4,1.055E5,1.044E6,0,DETECTED,247.07919,247.07893,247.07948,0.7852,0.7611,1.0297,1.044E6,7.432E4,1.055E5,1.044E6,0.0514,5.5695,7.4556,
9,0.7852,0.7611,11.4208,333.1313,333.12881,333.13303,4.545E6,4.539E5,1.147E5,4.545E6,12,DETECTED,333.1313,333.12881,333.13303,0.7852,0.7611,11.4208,4.545E6,4.539E5,1.147E5,4.545E6,0.291,89.9362,9.2933,12
10,0.7852,0.7214,1.0095,335.09546,335.09433,335.09592,1.683E6,1.195E5,1.341E5,1.683E6,0,DETECTED,335.09546,335.09433,335.09592,0.7852,0.7214,1.0095,1.683E6,1.195E5,1.341E5,1.683E6,0.2286,3.706,3.8169,
