id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML:fragment_scans
1,0.7209,0.7052,1.0222,164.92049,164.92043,164.92065,5.886E6,2.971E5,1.172E5,5.886E6,1,DETECTED,164.92049,164.92043,164.92065,0.7209,0.7052,1.0222,5.886E6,2.971E5,1.172E5,5.886E6,0.0325,8.0066,7.0701,1
2,0.7209,0.7052,15.9846,430.91381,430.91351,430.91711,9.739E6,3.959E5,1.4E5,9.739E6,1,DETECTED,430.91381,430.91351,430.91711,0.7209,0.7052,15.9846,9.739E6,3.959E5,1.4E5,9.739E6,15.1748,369.6799,968.9263,1
3,0.7425,0.7209,10.2297,258.11216,258.11008,258.11264,1.044E6,2.943E5,1.032E5,1.044E6,1,DETECTED,258.11216,258.11008,258.11264,0.7425,0.7209,10.2297,1.044E6,2.943E5,1.032E5,1.044E6,0.0375,117.0349,437.5854,1
4,0.7425,0.7052,1.0222,363.03325,363.03296,363.03366,1.468E7,7.199E5,2.048E5,1.468E7,0,DETECTED,363.03325,363.03296,363.03366,0.7425,0.7052,1.0222,1.468E7,7.199E5,2.048E5,1.468E7,0.031,2.7817,3.4388,
5,0.7425,0.7209,10.3849,439.1407,439.13782,439.1431,6.764E6,8.909E5,1.006E5,6.764E6,3,DETECTED,439.1407,439.13782,439.1431,0.7425,0.7209,10.3849,6.764E6,8.909E5,1.006E5,6.764E6,0.0434,4.7368,6.4847,3
6,0.7613,0.7209,1.0799,341.05149,341.05118,341.05222,3.046E6,2.597E5,1.21E5,3.046E6,2,DETECTED,341.05149,341.05118,341.05222,0.7613,0.7209,1.0799,3.046E6,2.597E5,1.21E5,3.046E6,0.0514,4.2148,5.2434,2
7,0.7816,0.7209,5.428,236.14933,236.14745,236.14987,7.573E6,3.508E5,1.015E5,7.573E6,3,DETECTED,236.14933,236.14745,236.14987,0.7816,0.7209,5.428,7.573E6,3.508E5,1.015E5,7.573E6,0.0248,1.6079,1.6088,3
8,0.7816,0.7425,1.0012,244.07939,244.07928,244.07945,4.885E6,1.657E5,1.059E5,4.885E6,0,DETECTED,244.07939,244.07928,244.07945,0.7816,0.7425,1.0012,4.885E6,1.657E5,1.059E5,4.885E6,0.0217,3.6363,3.12,
9,0.7816,0.7613,12.1139,245.11342,245.11314,245.11502,3.18E7,1.212E6,1.013E5,3.18E7,3,DETECTED,245.11342,245.11314,245.11502,0.7816,0.7613,12.1139,3.18E7,1.212E6,1.013E5,3.18E7,0.0328,1.9794,10.4131,3
10,0.7816,0.7425,8.0761,252.14407,252.14207,252.14635,1.83E6,1.458E5,1.145E5,1.83E6,1,DETECTED,252.14407,252.14207,252.14635,0.7816,0.7425,8.0761,1.83E6,1.458E5,1.145E5,1.83E6,0.4121,58.05,4.4037,1
11,0.7816,0.7425,8.589,277.08961,277.08701,277.08975,1.103E7,6.093E5,1.063E5,1.103E7,1,DETECTED,277.08961,277.08701,277.08975,0.7816,0.7425,8.589,1.103E7,6.093E5,1.063E5,1.103E7,0.0486,2.5905,3.7133,1
12,0.7816,0.7613,11.6378,333.12975,333.12897,333.13278,6.766E6,3.013E5,1.028E5,6.766E6,1,DETECTED,333.12975,333.12897,333.13278,0.7816,0.7613,11.6378,6.766E6,3.013E5,1.028E5,6.766E6,0.034,6.4605,10.9945,1
13,0.7816,0.7209,7.6231,335.09491,335.09222,335.09521,2.116E6,1.399E5,1.044E5,2.116E6,0,DETECTED,335.09491,335.09222,335.09521,0.7816,0.7209,7.6231,2.116E6,1.399E5,1.044E5,2.116E6,0.0452,85.8792,0.7738,
14,0.7816,0.7209,8.5174,365.10548,365.1022,365.10736,7.761E6,6.233E5,1.016E5,7.761E6,3,DETECTED,365.10548,365.1022,365.10736,0.7816,0.7209,8.5174,7.761E6,6.233E5,1.016E5,7.761E6,0.0569,2.0798,2.0382,3
15,0.7816,0.7425,6.6683,406.13309,406.13235,406.13498,9.665E5,7.425E4,1.025E5,9.665E5,0,DETECTED,406.13309,406.13235,406.13498,0.7816,0.7425,6.6683,9.665E5,7.425E4,1.025E5,9.665E5,0.049,75.8343,123.1096,
16,0.7987,0.7816,1.0441,201.12337,201.12328,201.12355,4.951E6,1.09E5,1.808E5,4.951E6,0,DETECTED,201.12337,201.12328,201.12355,0.7987,0.7816,1.0441,4.951E6,1.09E5,1.808E5,4.951E6,0.0245,7.0125,1.1473,
17,0.7987,0.7425,1.5137,206.1388,206.13863,206.13907,1.368E6,1.4E5,1.046E5,1.368E6,0,DETECTED,206.1388,206.13863,206.13907,0.7987,0.7425,1.5137,1.368E6,1.4E5,1.046E5,1.368E6,0.0332,1.658,1.8789,
18,0.7987,0.7613,1.1016,217.06838,217.06825,217.06856,1.676E7,5.533E5,1.238E5,1.676E7,2,DETECTED,217.06838,217.06825,217.06856,0.7987,0.7613,1.1016,1.676E7,5.533E5,1.238E5,1.676E7,0.0165,3.7166,7.108,2
19,0.7987,0.7613,1.0441,247.07896,247.07887,247.07948,2.329E6,1.084E5,1.675E5,2.329E6,0,DETECTED,247.07896,247.07887,247.07948,0.7987,0.7613,1.0441,2.329E6,1.084E5,1.675E5,2.329E6,0.0204,3.1102,6.2324,
20,0.7987,0.7613,11.6001,307.15075,307.14874,307.15308,2.155E6,2.502E5,1.31E5,2.155E6,5,DETECTED,307.15075,307.14874,307.15308,0.7987,0.7613,11.6001,2.155E6,2.502E5,1.31E5,2.155E6,8.9101,5.9375,6.373,5
21,0.7987,0.7209,10.7526,310.14984,310.14725,310.15259,6.709E6,1.395E6,1.008E5,6.709E6,4,DETECTED,310.14984,310.14725,310.15259,0.7987,0.7209,10.7526,6.709E6,1.395E6,1.008E5,6.709E6,0.0231,3.9236,13.8551,4
22,0.7987,0.7613,11.1787,326.14457,326.14194,326.14789,1.59E6,3.603E5,1.004E5,1.59E6,0,DETECTED,326.14457,326.14194,326.14789,0.7987,0.7613,11.1787,1.59E6,3.603E5,1.004E5,1.59E6,0.0288,37.3602,215.9518,
23,0.7987,0.7613,8.2896,332.13366,332.13177,332.13522,6.206E5,4.517E5,1.002E5,6.206E5,0,DETECTED,332.13366,332.13177,332.13522,0.7987,0.7613,8.2896,6.206E5,4.517E5,1.002E5,6.206E5,4.9355,100.662,13.0409,
24,0.7987,0.7613,6.4641,347.09588,347.09302,347.09802,1.263E6,1.995E5,1.066E5,1.263E6,0,DETECTED,347.09588,347.09302,347.09802,0.7987,0.7613,6.4641,1.263E6,1.995E5,1.066E5,1.263E6,0.0228,12.6332,37.385,
25,0.7987,0.7613,1.0581,363.09024,363.08987,363.09213,1.067E6,6.583E4,1.094E5,1.067E6,0,DETECTED,363.09024,363.08987,363.09213,0.7987,0.7613,1.0581,1.067E6,6.583E4,1.094E5,1.067E6,0.035,3.9686,6.5748,
26,0.7987,0.7425,8.2028,376.12294,376.12155,376.12488,5.287E5,1.004E5,1.007E5,5.287E5,0,DETECTED,376.12294,376.12155,376.12488,0.7987,0.7425,8.2028,5.287E5,1.004E5,1.007E5,5.287E5,0.0601,66.3803,77.016,
27,0.7987,0.7425,10.0255,379.12118,379.11755,379.12366,1.105E7,7.979E5,1.019E5,1.105E7,2,DETECTED,379.12118,379.11755,379.12366,0.7987,0.7425,10.0255,1.105E7,7.979E5,1.019E5,1.105E7,0.0389,1.8305,2.9091,2
28,0.7987,0.7425,6.978,380.12457,380.12155,380.12619,1.649E6,9.727E4,1.1E5,1.649E6,0,DETECTED,380.12457,380.12155,380.12619,0.7987,0.7425,6.978,1.649E6,9.727E4,1.1E5,1.649E6,0.0364,55.2883,2.8306,
29,0.7987,0.7613,6.9928,393.10066,393.09686,393.10233,1.454E6,7.04E4,1.126E5,1.454E6,0,DETECTED,393.10066,393.09686,393.10233,0.7987,0.7613,6.9928,1.454E6,7.04E4,1.126E5,1.454E6,0.0304,2.3558,5.9947,
30,0.7987,0.7816,9.7853,418.1851,418.18146,418.18594,1.024E6,5.08E5,1.004E5,1.024E6,0,DETECTED,418.1851,418.18146,418.18594,0.7987,0.7816,9.7853,1.024E6,5.08E5,1.004E5,1.024E6,0.2454,246.3992,250.8356,
31,0.7987,0.7209,8.8127,527.15815,527.15387,527.16095,2.751E6,1.764E5,1.061E5,2.751E6,1,DETECTED,527.15815,527.15387,527.16095,0.7987,0.7209,8.8127,2.751E6,1.764E5,1.061E5,2.751E6,0.1345,40.3706,0.247,1
32,0.7987,0.7209,9.053,689.20983,689.20453,689.21246,1.406E6,9.919E4,1.022E5,1.406E6,0,DETECTED,689.20983,689.20453,689.21246,0.7987,0.7209,9.053,1.406E6,9.919E4,1.022E5,1.406E6,0.0271,33.5085,82.374,
33,0.8108,0.7816,1.0799,161.06308,161.06302,161.06329,1.941E6,8.306E4,1.162E5,1.941E6,0,DETECTED,161.06308,161.06302,161.06329,0.8108,0.7816,1.0799,1.941E6,8.306E4,1.162E5,1.941E6,0.0166,2.708,4.946,
34,0.8108,0.7816,8.9471,166.08633,166.08592,166.08664,9.572E5,4.355E5,1.003E5,9.572E5,2,DETECTED,166.08633,166.08592,166.08664,0.8108,0.7816,8.9471,9.572E5,4.355E5,1.003E5,9.572E5,5.519,139.6807,41.9583,2
35,0.8108,0.7816,15.8499,176.12785,176.12624,176.12827,1.42E6,1.004E5,1.077E5,1.42E6,0,DETECTED,176.12785,176.12624,176.12827,0.8108,0.7816,15.8499,1.42E6,1.004E5,1.077E5,1.42E6,0.0302,149.5976,509.0472,
36,0.8108,0.7816,8.3442,180.10197,180.10156,180.10228,2.487E6,1.014E6,1.007E5,2.487E6,5,DETECTED,180.10197,180.10156,180.10228,0.8108,0.7816,8.3442,2.487E6,1.014E6,1.007E5,2.487E6,0.4164,270.4062,410.1439,5
37,0.8108,0.7816,1.5597,188.09187,188.0916,188.09209,7.018E5,1.08E5,1.157E5,7.018E5,0,DETECTED,188.09187,188.0916,188.09209,0.8108,0.7816,1.5597,7.018E5,1.08E5,1.157E5,7.018E5,0.2196,13.3105,0.8881,
38,0.8108,0.7816,6.4031,202.18021,202.18001,202.18044,6.239E6,3.501E5,1.121E5,6.239E6,2,DETECTED,202.18021,202.18001,202.18044,0.8108,0.7816,6.4031,6.239E6,3.501E5,1.121E5,6.239E6,0.0166,2.9385,8.6204,2
39,0.8108,0.7816,1.8787,231.08409,231.08385,231.08455,2.397E6,4.625E5,1.115E5,2.397E6,5,DETECTED,231.08409,231.08385,231.08455,0.8108,0.7816,1.8787,2.397E6,4.625E5,1.115E5,2.397E6,0.2197,18.3895,4.8942,5
40,0.8108,0.7816,5.1702,232.11803,232.11603,232.11859,6.302E5,2.121E5,1.008E5,6.302E5,0,DETECTED,232.11803,232.11603,232.11859,0.8108,0.7816,5.1702,6.302E5,2.121E5,1.008E5,6.302E5,0.3879,75.0726,54.8998,
41,0.8108,0.7816,9.8519,244.10533,244.10393,244.1058,3.722E6,2.88E5,1.001E5,3.722E6,0,DETECTED,244.10533,244.10393,244.1058,0.8108,0.7816,9.8519,3.722E6,2.88E5,1.001E5,3.722E6,0.0188,126.012,5.5695,
42,0.8108,0.7425,5.6384,250.16502,250.16306,250.16537,1.278E7,6.659E5,1.035E5,1.278E7,2,DETECTED,250.16502,250.16306,250.16537,0.8108,0.7425,5.6384,1.278E7,6.659E5,1.035E5,1.278E7,0.0216,3.1196,5.2806,2
43,0.8108,0.7816,6.1641,258.09517,258.09497,258.0961,5.417E6,4.077E5,1.038E5,5.417E6,0,DETECTED,258.09517,258.09497,258.0961,0.8108,0.7816,6.1641,5.417E6,4.077E5,1.038E5,5.417E6,0.0244,6.1469,4.2842,
44,0.8108,0.7425,4.2197,259.12912,259.12814,259.12939,1.097E8,7.084E6,1.005E5,1.097E8,7,DETECTED,259.12912,259.12814,259.12939,0.8108,0.7425,4.2197,1.097E8,7.084E6,1.005E5,1.097E8,0.019,3.2498,6.3146,7
45,0.8108,0.7816,8.0582,259.14436,259.14365,259.1456,8.992E5,5.268E5,1.004E5,8.992E5,0,DETECTED,259.14436,259.14365,259.1456,0.8108,0.7816,8.0582,8.992E5,5.268E5,1.004E5,8.992E5,6.9179,124.4755,163.9469,
46,0.8108,0.7987,13.5412,259.20574,259.20496,259.20724,6.114E5,4.249E5,1.015E5,6.114E5,0,DETECTED,259.20574,259.20496,259.20724,0.8108,0.7987,13.5412,6.114E5,4.249E5,1.015E5,6.114E5,12.0345,526.2693,890.3336,
47,0.8108,0.7816,10.6242,260.12826,260.1257,260.12881,6.343E5,9.778E5,1.003E5,6.343E5,0,DETECTED,260.12826,260.1257,260.12881,0.8108,0.7816,10.6242,6.343E5,9.778E5,1.003E5,6.343E5,5.1723,168.3695,301.4689,
48,0.8108,0.7816,1.2952,260.1324,260.12973,260.13324,1.22E7,7.722E5,1.541E5,1.22E7,0,DETECTED,260.1324,260.12973,260.13324,0.8108,0.7816,1.2952,1.22E7,7.722E5,1.541E5,1.22E7,0.0201,2.9433,2.7995,
49,0.8108,0.7816,1.1226,261.09475,261.09457,261.09506,1.183E6,9.23E4,1.46E5,1.183E6,0,DETECTED,261.09475,261.09457,261.09506,0.8108,0.7816,1.1226,1.183E6,9.23E4,1.46E5,1.183E6,0.0299,5.8321,4.6843,
50,0.8108,0.7816,6.4155,262.12853,262.1265,262.12909,8.444E5,2.753E5,1.013E5,8.444E5,0,DETECTED,262.12853,262.1265,262.12909,0.8108,0.7816,6.4155,8.444E5,2.753E5,1.013E5,8.444E5,0.2438,96.3738,135.393,
51,0.8108,0.7816,10.6738,264.14316,264.14194,264.14633,6.493E5,2.767E5,1.001E5,6.493E5,0,DETECTED,264.14316,264.14194,264.14633,0.8108,0.7816,10.6738,6.493E5,2.767E5,1.001E5,6.493E5,0.2467,169.2187,155.8453,
52,0.8108,0.7052,5.39,266.1599,266.15738,266.16025,1.497E7,8.077E5,1.009E5,1.497E7,3,DETECTED,266.1599,266.15738,266.16025,0.8108,0.7052,5.39,1.497E7,8.077E5,1.009E5,1.497E7,0.22,0.7467,1.9596,3
53,0.8108,0.7816,7.6099,272.11186,272.11044,272.11328,7.645E5,4.588E5,1.006E5,7.645E5,2,DETECTED,272.11186,272.11044,272.11328,0.8108,0.7816,7.6099,7.645E5,4.588E5,1.006E5,7.645E5,0.2535,116.8062,453.4488,2
54,0.8108,0.7987,8.729,275.11033,275.1073,275.11127,5.733E5,1.772E5,1.014E5,5.733E5,0,DETECTED,275.11033,275.1073,275.11127,0.8108,0.7987,8.729,5.733E5,1.772E5,1.014E5,5.733E5,0.4352,327.5236,518.3666,
