id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:feature_state,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:mz_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:rt_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:height,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:area,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:min,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:intensity_range:max,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fwhm,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:tailing_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:asymmetry_factor,datafile:DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML:fragment_scans
19,0.7996,0.7769,7.8142,180.10202,180.10164,180.10228,1.644E6,6.731E5,1E5,1.644E6,3,DETECTED,180.10202,180.10164,180.10228,0.7996,0.7769,7.8142,1.644E6,6.731E5,1E5,1.644E6,0.4051,106.9341,12.9313,3
20,0.7996,0.7769,7.1706,202.18034,202.1799,202.1806,4.78E6,2.239E5,1.098E5,4.78E6,1,DETECTED,202.18034,202.1799,202.1806,0.7996,0.7769,7.1706,4.78E6,2.239E5,1.098E5,4.78E6,0.0374,107.8302,3.4161,1
21,0.7996,0.7555,1.4729,204.08695,204.08656,204.08714,9.654E5,1E5,1.04E5,9.654E5,0,DETECTED,204.08695,204.08656,204.08714,0.7996,0.7555,1.4729,9.654E5,1E5,1.04E5,9.654E5,0.2543,8.1394,26.4964,
22,0.7996,0.7322,1.2711,206.13894,206.13866,206.13918,9.72E5,1.102E5,1.056E5,9.72E5,1,DETECTED,206.13894,206.13866,206.13918,0.7996,0.7322,1.2711,9.72E5,1.102E5,1.056E5,9.72E5,0.4406,4.0016,2.8745,1
23,0.7996,0.7555,1.0521,217.06861,217.06847,217.06883,3.141E6,2.46E5,1.505E5,3.141E6,2,DETECTED,217.06861,217.06847,217.06883,0.7996,0.7555,1.0521,3.141E6,2.46E5,1.505E5,3.141E6,0.0339,3.1619,4.0738,2
24,0.7996,0.7769,9.4072,244.10556,244.10458,244.10608,2.697E6,1.536E5,1.004E5,2.697E6,0,DETECTED,244.10556,244.10458,244.10608,0.7996,0.7769,9.4072,2.697E6,1.536E5,1.004E5,2.697E6,0.0378,141.4931,4.7008,
25,0.7996,0.7555,1.0521,247.0792,247.07895,247.0795,8.903E5,6.47E4,1.074E5,8.903E5,0,DETECTED,247.0792,247.07895,247.0795,0.7996,0.7555,1.0521,8.903E5,6.47E4,1.074E5,8.903E5,0.0363,3.3647,5.6423,
26,0.7996,0.7322,1.2049,250.16522,250.16473,250.16553,1.18E7,4.78E5,1.022E5,1.18E7,2,DETECTED,250.16522,250.16473,250.16553,0.7996,0.7322,1.2049,1.18E7,4.78E5,1.022E5,1.18E7,0.0267,1.5083,1.3471,2
27,0.7996,0.7769,5.5687,258.09534,258.09512,258.09769,3.665E6,2.823E5,1.008E5,3.665E6,0,DETECTED,258.09534,258.09512,258.09769,0.7996,0.7769,5.5687,3.665E6,2.823E5,1.008E5,3.665E6,0.0455,6.8502,11.1231,
28,0.7996,0.7555,4.2249,259.12927,259.12823,259.12961,7.7E7,4.018E6,1.029E5,7.7E7,7,DETECTED,259.12927,259.12823,259.12961,0.7996,0.7555,4.2249,7.7E7,4.018E6,1.029E5,7.7E7,0.0273,5.3033,2.3781,7
